% Density Profile of Hard Spheres at a Hard Flat Wall: rho(z), rho(z < 0.5) = 0
% Bulk density: rho (95% CI) = 0.79231789(0.00000354)
%
% rho_i is the average density in the interval [z_i-0.01, z_i+0.01]
%
%  z_i    rho_i     95% CI 
15.230  0.7923319  0.0000672
15.250  0.7923521  0.0000672
15.270  0.7922882  0.0000668
15.290  0.7922839  0.0000679
15.310  0.7922845  0.0000670
15.330  0.7923061  0.0000676
15.350  0.7922532  0.0000676
15.370  0.7922378  0.0000662
15.390  0.7922824  0.0000673
15.410  0.7923286  0.0000665
15.430  0.7922873  0.0000683
15.450  0.7923181  0.0000671
15.470  0.7923146  0.0000671
15.490  0.7923365  0.0000674
15.510  0.7923348  0.0000682
15.530  0.7923582  0.0000679
15.550  0.7923088  0.0000671
15.570  0.7923228  0.0000670
15.590  0.7923092  0.0000670
15.610  0.7923182  0.0000670
15.630  0.7923273  0.0000664
15.650  0.7923523  0.0000665
15.670  0.7923665  0.0000676
15.690  0.7923001  0.0000664
15.710  0.7923381  0.0000677
15.730  0.7923034  0.0000671
15.750  0.7923217  0.0000671
15.770  0.7922851  0.0000671
15.790  0.7923222  0.0000674
15.810  0.7923622  0.0000668
15.830  0.7923395  0.0000661
15.850  0.7923331  0.0000662
15.870  0.7924250  0.0000665
15.890  0.7923374  0.0000675
15.910  0.7923479  0.0000663
15.930  0.7923305  0.0000667
15.950  0.7923082  0.0000675
15.970  0.7922944  0.0000680
15.990  0.7923291  0.0000680
16.010  0.7923339  0.0000673
16.030  0.7923143  0.0000662
16.050  0.7923126  0.0000660
16.070  0.7922556  0.0000678
16.090  0.7923226  0.0000671
16.110  0.7922870  0.0000666
16.130  0.7923409  0.0000668
16.150  0.7922540  0.0000668
16.170  0.7923584  0.0000675
16.190  0.7923359  0.0000669
16.210  0.7922712  0.0000673
16.230  0.7923406  0.0000678
16.250  0.7923218  0.0000666
16.270  0.7923322  0.0000671
16.290  0.7922320  0.0000662
16.310  0.7923129  0.0000681
16.330  0.7923088  0.0000667
16.350  0.7922343  0.0000666
16.370  0.7923083  0.0000672
16.390  0.7923102  0.0000669
16.410  0.7923089  0.0000668
16.430  0.7923221  0.0000668
